Rank,Symbol,Total P&L (₹),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Avg P&L (₹)
1,NSE_MARUTI_EQ,6705.90,25,13,12,52.0,268.24
2,NSE_BRITANNIA_EQ,2889.45,21,12,9,57.1,137.59
3,NSE_ULTRACEMCO_EQ,2796.70,20,11,9,55.0,139.84
4,NSE_APOLLOHOSP_EQ,2236.70,24,12,12,50.0,93.20
5,NSE_DIVISLAB_EQ,1895.55,34,13,21,38.2,55.75
6,NSE_HEROMOTOCO_EQ,1785.95,20,11,9,55.0,89.30
7,NSE_EICHERMOT_EQ,1335.78,23,11,12,47.8,58.08
8,NSE_TCS_EQ,1228.45,22,11,11,50.0,55.84
9,NSE_GRASIM_EQ,1204.78,24,13,11,54.2,50.20
10,NSE_M_M_EQ,1078.05,30,11,19,36.7,35.93
11,NSE_HINDUNILVR_EQ,980.30,28,9,19,32.1,35.01
12,NSE_HCLTECH_EQ,893.15,25,13,12,52.0,35.73
13,NSE_HDFCBANK_EQ,719.00,28,13,15,46.4,25.68
14,NSE_SBILIFE_EQ,668.00,28,15,13,53.6,23.86
15,NSE_BHARTIARTL_EQ,650.45,28,14,14,50.0,23.23
16,NSE_DRREDDY_EQ,542.47,22,11,11,50.0,24.66
17,NSE_TITAN_EQ,526.40,20,11,9,55.0,26.32
18,NSE_HINDALCO_EQ,506.40,26,17,9,65.4,19.48
19,NSE_ADANIPORTS_EQ,492.30,23,13,10,56.5,21.40
20,NSE_SBIN_EQ,415.65,31,14,17,45.2,13.41